codice;tipologia;inizio_attivita;ubicazione;quartiere;zona_di_prossimita;attivita_secondaria;geo_point
1;Bar;1985-02-05;VIA DELL'ARCOVEGGIO, 3;Navile;BOLOGNINA;SOMMINISTRAZIONI ANNESSE A LOCALI DI PUBBLICO RITROVO E SPETTACOLO TIPO C;"{""type"":""Point"",""coordinates"":[11.34224394,44.51791865]}"
2;Ristorante;1985-04-09;PIAZZA DELLA COSTITUZIONE, 5/C;San Donato - San Vitale;SAN DONATO VECCHIO;"";"{""type"":""Point"",""coordinates"":[11.36270945,44.51155577]}"
3;Ristorante Annesso A Bar;1985-12-17;VIA SEBASTIANO SERLIO, 2;Navile;BOLOGNINA;RADIO;"{""type"":""Point"",""coordinates"":[11.34722182,44.50894424]}"
4;Bar,Pasticceria Fresca E Secca E Dolciumi Vari;1986-04-21;VIA MASCARELLA, 102;Santo Stefano;IRNERIO;"";"{""type"":""Point"",""coordinates"":[11.35164983,44.50123431]}"
5;Bar;1986-06-23;VIALE ALDO MORO, 26/A;San Donato - San Vitale;SAN DONATO VECCHIO;"";"{""type"":""Point"",""coordinates"":[11.36383213,44.509615]}"
6;Bar,Ristorante;1986-02-09;VIA PIETRO NENNI, 11;Borgo Panigale - Reno;BARCA;BAR RISERVATO,RISTORANTE RISERVATO;"{""type"":""Point"",""coordinates"":[11.29064666,44.49287991]}"
7;Bar Con Somministrazione Di Cibi Freddi,Bar Con Somministrazione Di Minestre Precotte;1986-09-09;VIALE ALDO MORO, 62/A;San Donato - San Vitale;SAN DONATO VECCHIO;"";"{""type"":""Point"",""coordinates"":[11.36452618,44.50759896]}"
8;Bar,Ristorante;1986-10-09;VIA CASTELMERLO, 13;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;SOMMINISTRAZIONE RISERVATA INTERNA AI CENTRI SOCIALI;"{""type"":""Point"",""coordinates"":[11.37830122,44.49159986]}"
9;Ristorante;1986-04-11;VIA GOITO, 3;Santo Stefano;IRNERIO;"";"{""type"":""Point"",""coordinates"":[11.34376498,44.49694693]}"
10;Bar;1986-03-12;VIA FRANCESCO ZANARDI, 228/A;Navile;BERTALIA - NOCE;SOMMINISTRAZIONE RISERVATA INTERNA AI CENTRI SOCIALI;"{""type"":""Point"",""coordinates"":[11.31718745,44.52435112]}"
11;Bar,Ristorante;1986-06-12;VIA LODOVICO BERTI, 2/10;Porto - Saragozza;SAFFI;SOMMINISTRAZIONE RISERVATA INTERNA AI CENTRI SOCIALI;"{""type"":""Point"",""coordinates"":[11.33031062,44.50248271]}"
12;Bar;1986-06-12;VIA DINO CAMPANA, 4;San Donato - San Vitale;SAN DONATO NUOVO;BAR RISERVATO;"{""type"":""Point"",""coordinates"":[11.39812739,44.51400267]}"
13;Bar;1986-06-12;VIA EMILIA LEVANTE, 138;Savena;PONTEVECCHIO - MAZZINI;SOMMINISTRAZIONE RISERVATA INTERNA AI CENTRI SOCIALI;"{""type"":""Point"",""coordinates"":[11.38168116,44.48109649]}"
14;Bar;1987-01-29;VIA S.FELICE, 9;Porto - Saragozza;MARCONI;RADIO;"{""type"":""Point"",""coordinates"":[11.33623313,44.49617881]}"
15;Bar Con Sosta B2;1987-05-02;VIA PIETRO MENGOLI, 16;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;"";"{""type"":""Point"",""coordinates"":[11.37043614,44.48792649]}"
16;Bar;1987-03-13;VIA GIUSEPPE BENTIVOGLI, 32;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;APPARECCHI DA GIOCO;"{""type"":""Point"",""coordinates"":[11.3642482,44.49541605]}"
17;Ristorante Annesso A Bar;1987-03-21;VIA EMILIA PONENTE, 76;Borgo Panigale - Reno;SANTA VIOLA;RADIO;"{""type"":""Point"",""coordinates"":[11.30585766,44.50656696]}"
18;Bar;1987-05-05;VIA DRAPPERIE, 5/A;Santo Stefano;GALVANI;RADIO;"{""type"":""Point"",""coordinates"":[11.34512527,44.49361033]}"
19;Bar Con Somministrazione Di Cibi Freddi,Bar Con Somministrazione Di Minestre Precotte;1987-07-15;PIAZZA DELL'OTTO AGOSTO, 18/D;Santo Stefano;IRNERIO;GIOCO DELLE CARTE,RADIO SENZA AMPLIFICAZIONE,T.V. SENZA AMPLIFICAZIONE,VIDEOGIOCHI;"{""type"":""Point"",""coordinates"":[11.34619888,44.50047426]}"
20;Bar,Produzione Di Pasticceria;1987-09-22;VIA EMILIA LEVANTE, 113;Savena;PONTEVECCHIO - MAZZINI;"";"{""type"":""Point"",""coordinates"":[11.38434154,44.47965563]}"
21;Bar;1987-11-30;VIA PORRETTANA, 64/2;Porto - Saragozza;SARAGOZZA - SAN LUCA;RADIO SENZA AMPLIFICAZIONE;"{""type"":""Point"",""coordinates"":[11.30689582,44.49085146]}"
