codice;nome;quartiere;zona_di_prossimita;geo_point
1;Biblioteca Walter Bigiavi;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.35181184,44.497630578]}"
2;Biblioteca Universitaria;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3530204,44.4970778]}"
3;Dipartimento di Scienze Farmaceutiche;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3535141,44.4957057]}"
4;Biblioteca Biomedica Centrale;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3553523,44.5003826]}"
5;Biblioteca di discipline umanistiche;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.351242,44.4969542]}"
6;Biblioteca Giuridica Antonio Cicu;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3517256,44.49658]}"
7;Sala Studio Petroni;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3516342,44.4951097]}"
8;"Biblioteca Universitaria di Scienze dell'Educazione ""Mario Gattullo""";Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3546384,44.5005216]}"
9;Biblioteca del Conservatorio Statale di Musica Gian Battista Martini;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3492047,44.4951516]}"
10;Centro italiano di Documentazione Speleologica - Biblioteca Franco Anelli;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3550353,44.4977254]}"
11;Biblioteca Giuseppe Dossetti;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.355787,44.4941213]}"
12;Biblioteca Universitaria di Matematica, Fisica, Astronomia e Informatica. Sezione di Matematica;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3557812,44.4979542]}"
13;"Biblioteca universitaria del Dipartimento di Scienze Statistiche ""Paolo Fortunati""";Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3522848,44.4976072]}"
14;Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali. Sezione di Biologia;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3541733,44.4957769]}"
15;Biblioteca Universitaria Interdipartimentale di Matematica, Fisica, Astronomia e Informatica. Sezione di Fisica;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.353879,44.49937]}"
16;Salaborsa Lab;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3544851,44.4937757]}"
17;Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali. Sezione di Geologia;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3545955,44.4964927]}"
18;"Biblioteca Universitaria di Discipline Economico Aziendali ""Walter Bigiavi""";Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3518663,44.4975785]}"
19;Biblioteca Universitaria Giuseppe Testoni del Dipartimento di Scienze Aziendali;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3520807,44.4971791]}"
20;"Biblioteca Universitaria ""Ezio Raimondi"" del Dipartimento di Filologia Classica e Italianistica";Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3511098,44.4965702]}"
21;Biblioteca del Dipartimento di Filosofia e Comunicazione - FILCOM. Sezione di Filosofia;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.35163,44.4968209]}"
22;Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Storia antica;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3518443,44.496833]}"
23;Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Orientalistica e Antropologia;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3529299,44.4966685]}"
24;"Biblioteca ""Silvana Contento"" del Dipartimento di Psicologia";Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3551956,44.4998799]}"
25;"Biblioteca Giuridica ""Antonio Cicu"" - Sezione di diritto amministrativo (SPISA)";Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3549797,44.4954534]}"
26;Biblioteca del Dipartimento di Scienze economiche - DSE;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3516845,44.49762]}"
27;Biblioteca Giuridica Antonio Cicu - sezione Filopanti;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3566325,44.4949924]}"
28;Biblioteca Fondazione Gramsci ER;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3474839,44.4974042]}"
29;Mediateca Giuseppe Guglielmi;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3469849,44.4967678]}"
30;Biblioteca Salaborsa;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3414033,44.4947213]}"
31;Biblioteca d'arte e di storia di San Giorgio in Poggiale;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3391514,44.4974258]}"
32;"Biblioteca della salute mentale e delle scienze umane ""Minguzzi - Gentili""";Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3303837,44.4932314]}"
33;Biblioteca delle Arti. Sezione di Musica e Spettacolo;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3390113,44.4913567]}"
34;Istituto storico Parri;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.33385,44.4934909]}"
35;Salaborsa Ragazzi;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.341776,44.4945518]}"
36;biblioteca Spagna;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3393355,44.4908571]}"
37;Biblioteca Natalia Ginzburg;Savena;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.391840921,44.474134981]}"
38;Biblioteca Oriano Tassinari Clò;Porto - Saragozza;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.3151025,44.4872982]}"
39;"Biblioteca di strada ""Lorenzo Brogioni""";Porto - Saragozza;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.3273778,44.4910438]}"
40;"Biblioteca Universitaria di Ingegneria e Architettura. Sezione Ingegneria Chimica, Ambientale e Gestionale ""F.P. Foraboschi""";Navile;BERTALIA - NOCE;"{""type"":""Point"",""coordinates"":[11.3209065,44.5143923]}"
41;Biblioteca Borgo Panigale - Miriam Ridolfi;Borgo Panigale - Reno;BORGO PANIGALE;"{""type"":""Point"",""coordinates"":[11.2654653,44.5229552]}"
42;Biblioteca Comunale dell'Archiginnasio;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3438538,44.4918717]}"
43;Biblioteca Italiana delle Donne;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3556219,44.4884342]}"
44;"Biblioteca di Scienze Politiche e Sociali ""Nicola Matteucci""";Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3536074,44.4908861]}"
45;Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Scienze del Moderno;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3478296,44.4905579]}"
46;Biblioteca Universitaria del Dipartimento di Storia Culture Civiltà. Sezione di Archeologia;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3478935,44.4905189]}"
47;Biblioteca Universitaria del Dipartimento di Storia Culture Civiltà. Sezione Storia Medievale;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3479683,44.4904773]}"
48;"Biblioteca delle Arti. Sezione di Arti visive ""I. B. Supino""";Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3554784,44.4882561]}"
49;Biblioteca del Dipartimento di Lingue, Letterature e Culture moderne - LILEC;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3489161,44.489867]}"
50;Fondazione Federico Zeri;Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.3553467,44.4880643]}"
51;"Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - SDE. Sezione di Sociologia ""Achille Ardigò""";Santo Stefano;GALVANI;"{""type"":""Point"",""coordinates"":[11.354016,44.4910164]}"
