codice;geo_point
0;"{""type"":""Point"",""coordinates"":[11.232558781,44.526252101]}"
1;"{""type"":""Point"",""coordinates"":[11.232558781,44.528500402]}"
2;"{""type"":""Point"",""coordinates"":[11.232558781,44.530748703]}"
3;"{""type"":""Point"",""coordinates"":[11.232558781,44.532997004]}"
4;"{""type"":""Point"",""coordinates"":[11.235706545,44.508265694]}"
5;"{""type"":""Point"",""coordinates"":[11.235706545,44.510513995]}"
6;"{""type"":""Point"",""coordinates"":[11.235706545,44.526252101]}"
7;"{""type"":""Point"",""coordinates"":[11.235706545,44.528500402]}"
8;"{""type"":""Point"",""coordinates"":[11.235706545,44.530748703]}"
9;"{""type"":""Point"",""coordinates"":[11.235706545,44.532997004]}"
10;"{""type"":""Point"",""coordinates"":[11.235706545,44.535245305]}"
11;"{""type"":""Point"",""coordinates"":[11.235706545,44.537493606]}"
12;"{""type"":""Point"",""coordinates"":[11.235706545,44.539741907]}"
13;"{""type"":""Point"",""coordinates"":[11.23885431,44.503769092]}"
14;"{""type"":""Point"",""coordinates"":[11.23885431,44.506017393]}"
15;"{""type"":""Point"",""coordinates"":[11.23885431,44.508265694]}"
16;"{""type"":""Point"",""coordinates"":[11.23885431,44.510513995]}"
17;"{""type"":""Point"",""coordinates"":[11.23885431,44.512762296]}"
18;"{""type"":""Point"",""coordinates"":[11.23885431,44.5240038]}"
19;"{""type"":""Point"",""coordinates"":[11.23885431,44.526252101]}"
20;"{""type"":""Point"",""coordinates"":[11.23885431,44.528500402]}"
21;"{""type"":""Point"",""coordinates"":[11.23885431,44.530748703]}"
22;"{""type"":""Point"",""coordinates"":[11.23885431,44.532997004]}"
23;"{""type"":""Point"",""coordinates"":[11.23885431,44.535245305]}"
24;"{""type"":""Point"",""coordinates"":[11.23885431,44.537493606]}"
25;"{""type"":""Point"",""coordinates"":[11.23885431,44.539741907]}"
26;"{""type"":""Point"",""coordinates"":[11.23885431,44.541990208]}"
27;"{""type"":""Point"",""coordinates"":[11.23885431,44.544238509]}"
28;"{""type"":""Point"",""coordinates"":[11.242002075,44.501520791]}"
29;"{""type"":""Point"",""coordinates"":[11.242002075,44.503769092]}"
30;"{""type"":""Point"",""coordinates"":[11.242002075,44.506017393]}"
31;"{""type"":""Point"",""coordinates"":[11.242002075,44.508265694]}"
32;"{""type"":""Point"",""coordinates"":[11.242002075,44.510513995]}"
33;"{""type"":""Point"",""coordinates"":[11.242002075,44.512762296]}"
34;"{""type"":""Point"",""coordinates"":[11.242002075,44.515010597]}"
35;"{""type"":""Point"",""coordinates"":[11.242002075,44.517258898]}"
36;"{""type"":""Point"",""coordinates"":[11.242002075,44.519507199]}"
37;"{""type"":""Point"",""coordinates"":[11.242002075,44.5217555]}"
38;"{""type"":""Point"",""coordinates"":[11.242002075,44.5240038]}"
39;"{""type"":""Point"",""coordinates"":[11.242002075,44.526252101]}"
