codice;denominazione;tipologia;geo_point
1;GIARDINO PRIMO ZECCHI;GIARDINO;"{""coordinates"": [11.319813839969264, 44.53337433481749], ""type"": ""Point""}"
2;GIARDINO VITTIME DELLA MINIERA DI MARCINELLE;GIARDINO;"{""coordinates"": [11.367353181240638, 44.50502278334698], ""type"": ""Point""}"
3;PARCO OLIVIERO MARIO OLIVO;PARCO;"{""coordinates"": [11.365544297290914, 44.47449010476805], ""type"": ""Point""}"
4;GIARDINO VITTIME INNOCENTI DI TUTTE LE MAFIE;GIARDINO;"{""coordinates"": [11.314546755111751, 44.5029517095199], ""type"": ""Point""}"
5;GIARDINO VITTORINA DAL MONTE;GIARDINO;"{""coordinates"": [11.38159126769887, 44.48132293706949], ""type"": ""Point""}"
6;GIARDINO PENELOPE VERONESI;GIARDINO;"{""coordinates"": [11.3879119328699, 44.50858544162372], ""type"": ""Point""}"
7;PARCO DELL'ARBORETO;PARCO;"{""coordinates"": [11.385296938512644, 44.50779743891326], ""type"": ""Point""}"
8;GIARDINO MARCO WALTER BATTACCHI;GIARDINO;"{""coordinates"": [11.37012799852156, 44.457483301725844], ""type"": ""Point""}"
9;GIARDINO LE CORBUSIER;GIARDINO;"{""coordinates"": [11.360693987225677, 44.51087743707984], ""type"": ""Point""}"
10;GIARDINO MELVIN JONES;GIARDINO;"{""coordinates"": [11.330609979112882, 44.510297463478544], ""type"": ""Point""}"
11;GIARDINO DIONYSIOS SOLOMOS;GIARDINO;"{""coordinates"": [11.377608259397002, 44.49235241369274], ""type"": ""Point""}"
12;GIARDINO UGO GUIDI;GIARDINO;"{""coordinates"": [11.372814459864077, 44.48597383512847], ""type"": ""Point""}"
13;PARCO PRIMO LEVI;PARCO;"{""coordinates"": [11.378299811823616, 44.49928878146391], ""type"": ""Point""}"
14;GIARDINO ALIDA VALLI;GIARDINO;"{""coordinates"": [11.392911144149501, 44.48373742453515], ""type"": ""Point""}"
15;GIARDINO PAUL HARRIS;GIARDINO;"{""coordinates"": [11.345096163097741, 44.530412881322235], ""type"": ""Point""}"
16;GIARDINO FLORENCE NIGHTINGALE;GIARDINO;"{""coordinates"": [11.37409076532823, 44.47064317194265], ""type"": ""Point""}"
17;GIARDINO MADRI COSTITUENTI;GIARDINO;"{""coordinates"": [11.397149236215553, 44.491059119210064], ""type"": ""Point""}"
