civ_key;nome;servizio;gestione;istituzione_scolastica;quartiere;indirizzo;numero_civico;zona_di_prossimita;geo_point
000500005000;SANZIO;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 09;Savena;VIA GIUSEPPE CESARE ABBA;5;LUNGO SAVENA;"{""type"":""Point"",""coordinates"":[11.378702859,44.465110372]}"
000500011000;ABBA;SCUOLA DELL'INFANZIA;INDIRETTA;CADIAI;Savena;VIA GIUSEPPE CESARE ABBA;11;LUNGO SAVENA;"{""type"":""Point"",""coordinates"":[11.377563768,44.464100737]}"
011500003000;GIANCARLO CERINI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;VIA ALBERTO MARIO;3;LUNGO SAVENA;"{""type"":""Point"",""coordinates"":[11.377273906,44.46464748]}"
013500050000;ZUCCHERO FILATO;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;VIALE ANTONIO ALDINI;50;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.337383229,44.486779205]}"
021000041000;GARIBALDI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 11;San Donato - San Vitale;VIA ISABELLA ANDREINI;41;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.373072696,44.500208122]}"
023000004000;MARSILI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 04;Navile;VIA S.ANNA;4;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.355531644,44.548679347]}"
023000004020;MARSILI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA S.ANNA;4;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.356230297,44.548329395]}"
025500011000;FEDERZONI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 05;Navile;VIA ANTONIO DI VINCENZO;11;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.344659529,44.507827579]}"
025500011020;FEDERZONI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 05;Navile;VIA ANTONIO DI VINCENZO;11;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.344504113,44.507851486]}"
025500055000;TESTONI - FIORAVANTI;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 05;Navile;VIA ANTONIO DI VINCENZO;55;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.345513648,44.512836848]}"
028500017000;MARIGHETTO;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA DELL'ARCOBALENO;17;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.375093017,44.487503514]}"
033000033000;PIAGET;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 22;Savena;VIA ARNO;33;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.387057622,44.472886962]}"
034000005000;GUALANDI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 10;San Donato - San Vitale;VIA DELL'ARTIGIANO;5;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.366333269,44.502987077]}"
035000033000;FABRIZIO DE ANDRE';SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 18;Porto - Saragozza;VIA ASIAGO;33;SAFFI;"{""type"":""Point"",""coordinates"":[11.316653806,44.500269917]}"
036000043000;MALPIGHI MARCELLO;SCUOLA SECONDARIA DI PRIMO GRADO;PRIVATA PARITARIA;SCUOLA MEDIA PARITARIA MALPIGHI;Porto - Saragozza;VIA RODOLFO AUDINOT;43;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.327033363,44.491805989]}"
037500055000;COLLEGIO SAN LUIGI;SCUOLA SECONDARIA DI SECONDO GRADO;PRIVATA PARITARIA;"";Porto - Saragozza;VIA D'AZEGLIO;55;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.339576849,44.488188565]}"
037500082000;LAVINIA FONTANA;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 19;Santo Stefano;VIA D'AZEGLIO;82;GALVANI;"{""type"":""Point"",""coordinates"":[11.339766156,44.487557762]}"
039000063000;VIGANÒ;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Porto - Saragozza;VIA AZZO GARDINO;63;MARCONI;"{""type"":""Point"",""coordinates"":[11.335717054,44.501808402]}"
040000054000;MATTIUZZI CASALI (SUCC. DON BOSCO);SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 16;San Donato - San Vitale;VIA AZZURRA;54;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.373466046,44.487149468]}"
040500004000;MALPIGHI SUCCURSALE;SCUOLA SECONDARIA DI PRIMO GRADO;PRIVATA PARITARIA;SCUOLA MEDIA PARITARIA MALPIGHI;Santo Stefano;PIAZZALE GIUSEPPE BACCHELLI;4;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.343574242,44.478271139]}"
047800002000;SAN GIUSEPPE;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;SAN GIUSEPPE;Borgo Panigale - Reno;VIA CLELIA BARBIERI;2;CASTELDEBOLE - PONTELUNGO;"{""type"":""Point"",""coordinates"":[11.277553949,44.501249648]}"
048000005000;ACRI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 05;Navile;VIA FRANCESCO BARBIERI;5;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.346715823,44.516621194]}"
04800000500A;LA GIOSTRA;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 05;Navile;VIA FRANCESCO BARBIERI;5;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.346798374,44.516881202]}"
