codice;nome;quartiere;zona_di_prossimita;geo_point
1;Sapori Dintorni;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.343337055,44.496148973]}"
2;Pam;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3509708,44.4996853]}"
3;Asia Mach;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3520658,44.5013648]}"
4;Bottega Broccaindosso;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.355857,44.4939967]}"
5;Coop;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3474162,44.4945239]}"
6;Coop;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3459261,44.496621]}"
7;Conad City;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3463946,44.4981618]}"
8;Meta;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3472323,44.4948564]}"
9;Kaffeina market;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3506984,44.495814]}"
10;Lava e Lava;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3481353,44.5001363]}"
11;Crai;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3515412,44.4976997]}"
12;Market;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3504964,44.4977628]}"
13;Conad City;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3501244,44.5018469]}"
14;Ecu Discount;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3504584,44.5022772]}"
15;Alimentari Puglia;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3557233,44.4936469]}"
16;Alimentari;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3465355,44.4987474]}"
17;Fior di Pane;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3474046,44.4980943]}"
18;L'Angolo del Biologico;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3558879,44.4907169]}"
19;Fruitaly srl Prodotti tipici del Sud;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3461457,44.499519]}"
20;Wine Passion s.n.c;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3479,44.49854]}"
21;Bruno E Franco;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3456449,44.495895]}"
22;Tabacchi;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3470848,44.4983514]}"
23;Nusrat Mini Market;Santo Stefano;IRNERIO;"{""type"":""Point"",""coordinates"":[11.3446867,44.4968425]}"
24;Coop;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3398773,44.4958108]}"
25;Meta;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3402689,44.4889906]}"
26;Coop;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3387005,44.4959005]}"
27;Foglie d'erba;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3300417,44.4974105]}"
28;Pam Local;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3412323,44.4937123]}"
29;Carrefour Express;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3354233,44.493243]}"
30;Antica Drogheria della Pioggia;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.34236,44.49893]}"
31;Brenso;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3322324,44.4954454]}"
32;Coop;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3291735,44.4953539]}"
33;Conad City;Porto - Saragozza;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.3300983,44.4944114]}"
34;Pam;Savena;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.386881907,44.475926455]}"
35;Eurospar;Savena;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.376996207,44.471604416]}"
36;NaturaSì;Savena;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.3809765,44.4793262]}"
37;Carrefour Express;Savena;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.3881753,44.4735803]}"
38;in Coop;Savena;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.3840804,44.4749556]}"
39;Caffè 14 luglio;Savena;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.3888794,44.474775]}"
40;IN's Mercato;Savena;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.3841767,44.4772365]}"
41;Coop;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3700856,44.4743529]}"
42;Bortolotti G. & Trentini G.;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3595771,44.4800057]}"
43;Coop;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3699687,44.480304]}"
44;Baby Market Alimentare;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3617484,44.4768204]}"
45;Alimentari;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.359328,44.4891478]}"
46;Alimentari;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3605256,44.488724]}"
47;Carrefour Express;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.361565,44.4886092]}"
48;Pam;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3623019,44.487582]}"
49;Verdura Mercato;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3619633,44.4871004]}"
50;Oriani Market;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3599101,44.4843095]}"
51;Pam;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3576565,44.4838661]}"
52;Tabu Mini Market;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3628542,44.487846]}"
53;Frutta e Verdura;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3689664,44.4826777]}"
54;Pam Local;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3702558,44.4812406]}"
55;fruttella;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3724229,44.4838899]}"
56;Calzati Dante;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.37192,44.48286]}"
57;Pam;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3683809,44.4779459]}"
58;Plai Natal;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3714296,44.4845871]}"
59;Verdure;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3702719,44.48503]}"
60;Pane Pasta Frutta e Verdura;Santo Stefano;MURRI;"{""type"":""Point"",""coordinates"":[11.3702312,44.477247]}"
61;EuroSpin;Borgo Panigale - Reno;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.302806969,44.50348098]}"
62;Esselunga;Borgo Panigale - Reno;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.306353258,44.505456936]}"
63;ALDI;Borgo Panigale - Reno;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.2996409,44.5080124]}"
64;Esselunga;Borgo Panigale - Reno;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.307143,44.5056421]}"
65;Conad City;Borgo Panigale - Reno;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.2955375,44.5039498]}"
66;Sanny Frutta;Borgo Panigale - Reno;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.2971574,44.5089443]}"
67;Coop Alleanza 3.0;Porto - Saragozza;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.3128726,44.4937508]}"
68;Despar;Porto - Saragozza;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.324253,44.4952508]}"
69;In's Mercato;Porto - Saragozza;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.3283371,44.4903211]}"
70;Carrefour Express;Porto - Saragozza;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.319801,44.4911736]}"
71;NaturaSì;Porto - Saragozza;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.3144298,44.4951061]}"
