civ_key;indirizzo;nome;fonte;tipologia;link;quartiere;zona_di_prossimita;geo_point
233000004000;via Fondazza, 4;Roma d'Essai;Settore Cultura;Cinema;http://cinemaromadessai.webnode.it/;Santo Stefano;Galvani;"{""coordinates"": [11.355753943453934, 44.4902213205577], ""type"": ""Point""}"
064000006000;via Bellinzona, 6;Cinema Bellinzona;Settore Cultura;Cinema;http://www.cinemateatrobellinzona.it/;Porto - Saragozza;Saragozza - San Luca;"{""coordinates"": [11.325813145912086, 44.48937710337534], ""type"": ""Point""}"
396500009000;via Monte Grappa, 9;Cinema Teatro Medica Palace;Settore Cultura;Cinema Teatro;https://cinemajollybologna.com/;Porto - Saragozza;Malpighi;"{""coordinates"": [11.340732960802999, 44.49588642413343], ""type"": ""Point""}"
205000038000;via San Donato, 38;Cinema Perla;Settore Cultura;Cinema;http://www.parrocchiasantegidiobologna.it/attivita/cinema-perla;San Donato - San Vitale;Cirenaica - Massarenti - Scandellara;"{""coordinates"": [11.3583362839895, 44.49975761985003], ""type"": ""Point""}"
586000125000;via Toscana, 125;Cinema Smeraldo;Settore Cultura;Cinema;http://www.mymovies.it/cinema/bologna/5580/;Savena;Via Toscana - S. Ruffillo - Monte Donato;"{""coordinates"": [11.368060221066111, 44.455501713019636], ""type"": ""Point""}"
45950005500A;via Pietralata, 55/A;Europa Cinema;Settore Cultura;Cinema;http://www.mymovies.it/cinema/bologna/6968/;Porto - Saragozza;Malpighi;"{""coordinates"": [11.33121571016076, 44.49617038799526], ""type"": ""Point""}"
53050000500A;Piazza di Porta Saragozza, 5/A;Cinema Chaplin;Settore Cultura;Cinema;http://www.mymovies.it/cinema/bologna/20007/;Porto - Saragozza;Malpighi;"{""coordinates"": [11.331149699347876, 44.4908088488312], ""type"": ""Point""}"
039000065000;via Azzo Gardino, 65;Cinema Lumiere - Auditorium DMS;Settore Cultura;Cinema;http://www.cinetecadibologna.it/cineteca/dovesiamo/l_8;Porto - Saragozza;Marconi;"{""coordinates"": [11.33493416035254, 44.502082191361836], ""type"": ""Point""}"
498500001000;Largo Respighi, 1;Teatro Comunale;Settore Cultura;Teatro;http://www.comunalebologna.it/;Santo Stefano;Irnerio;"{""coordinates"": [11.350204688617577, 44.496516658456606], ""type"": ""Point""}"
138000042000;via Cartoleria, 42;Teatro Duse;Settore Cultura;Teatro;http://www.teatrodusebologna.it/;Santo Stefano;Galvani;"{""coordinates"": [11.348218626933706, 44.488725633113795], ""type"": ""Point""}"
417500025000;via Oberdan, 25;Teatro San Martino;Settore Cultura;Teatro;http://www.fortebraccioteatro.com/teatrosanmartino/teatro.html;Santo Stefano;Irnerio;"{""coordinates"": [11.3465805700048, 44.497502899127504], ""type"": ""Point""}"
529500234000;via Saragozza, 234;Teatro IL Celebrazioni;Internet;Teatro;http://www.teatrocelebrazioni.it/;Porto - Saragozza;Saragozza - San Luca;"{""coordinates"": [11.312455477545877, 44.489677904387506], ""type"": ""Point""}"
301500044000;via dell'Indipendenza, 44;Arena del Sole;Settore Cultura;Teatro;http://bologna.emiliaromagnateatro.com/;Porto - Saragozza;Marconi;"{""coordinates"": [11.343699874202855, 44.499335982990246], ""type"": ""Point""}"
392500001020;via de' Monari, 1/2;Teatro Auditorium Manzoni;Settore Cultura;Teatro;http://www.auditoriumanzoni.it/;Porto - Saragozza;Malpighi;"{""coordinates"": [11.342491404634721, 44.49718902799108], ""type"": ""Point""}"
163000023000;via de' Chiari, 23;Aula Absidale di Santa Lucia;Settore Cultura;Teatro;http://www.unibo.it/it/ateneo/chi-siamo/visita-virtuale-di-alcuni-luoghi-unibo;Santo Stefano;Galvani;"{""coordinates"": [11.34849127836984, 44.49010983177486], ""type"": ""Point""}"
045000002000;via del Baraccano, 2;Piccolo Teatro del Baraccano;Settore Cultura;Teatro;https://www.teatrodelbaraccano.com/;Santo Stefano;Galvani;"{""coordinates"": [11.354232579253594, 44.4859090990387], ""type"": ""Point""}"
284200016000;via Gorki, 16;Sala Centofiori;Internet;Teatro;https://www.facebook.com/TeatroCentofiori/;Navile;Corticella - Dozza;"{""coordinates"": [11.359982536839555, 44.54631637469441], ""type"": ""Point""}"
000500006000;via Abba, 6;Teatro dei 25;Internet;Teatro;https://it-it.facebook.com/Teatro-dei-25-354029011380472/;Savena;Lungo Savena;"{""coordinates"": [11.379103675249688, 44.46504861268107], ""type"": ""Point""}"
351000255000;via Marco Emilio Lepido, 255;La Casa delle Culture e dei Teatri;Cultura Città Metropolitana;Teatro;http://www.teatroridotto.it/;Borgo Panigale - Reno;Birra - Bargellino - Lavino;"{""coordinates"": [11.233232466374128, 44.53258150566854], ""type"": ""Point""}"
352500051000;via Marco Polo, 51;Sala Teatro Lame Borgatti;Internet;Teatro;https://it-it.facebook.com/salateatroborgatti/;Navile;Beverara;"{""coordinates"": [11.329150381318964, 44.51900227395935], ""type"": ""Point""}"
08800001200C;via Boldrini, 12/C;Sala del ProverÃ²;Internet;Teatro;http://www.aicsbologna.it/index.php?option=com_content&view=article&id=99:sala-del-provero&catid=17&Itemid=167;Porto - Saragozza;Marconi;"{""coordinates"": [11.340323690644821, 44.50447088375724], ""type"": ""Point""}"
171500007030;via Collegio di Spagna, 7/3;Sipario club;Internet;Teatro;http://www.exibart.com/profilo/sedeV2.asp?idelemento=2870;Porto - Saragozza;Malpighi;"{""coordinates"": [11.33863598154074, 44.490971833754955], ""type"": ""Point""}"
620000063000;via San Vitale, 63;AngelicA Centro di ricerca musicale - Teatro San Leonardo;Settore Cultura;Teatro;http://www.aaa-angelica.com/aaa/ricercaerinascimento/2017-2018-quarto-anno/centro-di-ricerca-musicale-stagione-2017-2018-quarto-anno-ottobre-novembre-dicembre-2017/;Santo Stefano;Irnerio;"{""coordinates"": [11.354464207703126, 44.493854661301334], ""type"": ""Point""}"
