codice;denominazione;numero_linee;ubicazione;quartiere;zona_di_prossimita;geo_point
1;STAZIONE CENTRALE;2;PIAZZA MEDAGLIE D`ORO (PENSILINA C);Porto - Saragozza;MARCONI;44.505762, 11.343174
2;STAZIONE CENTRALE;7;VIALE PIETRAMELLARA 51 (FERMATA F);Porto - Saragozza;MARCONI;44.505145, 11.342558
3;STAZIONE CENTRALE;11;PIAZZA MEDAGLIE D`ORO (PENSILINA A);Porto - Saragozza;MARCONI;44.505444, 11.34379
4;STAZIONE CENTRALE;1;VIALE PIETRAMELLARA 53 (FERMATA G);Porto - Saragozza;MARCONI;44.505044, 11.343108
5;STAZIONE CENTRALE;1;PIAZZA MEDAGLIE D`ORO (PENSILINA B);Porto - Saragozza;MARCONI;44.50568, 11.343699
6;STAZIONE CENTRALE;1;VIALE PIETRAMELLARA 63 (FERMATA H);Porto - Saragozza;MARCONI;44.504931, 11.343782
7;STAZIONE CENTRALE;1;PIAZZA MEDAGLIE D`ORO (PENSILINA D);Porto - Saragozza;MARCONI;44.505714, 11.342895
8;STAZIONE CENTRALE;8;VIALE PIETRAMELLARA (PENSILINA M);Porto - Saragozza;MARCONI;44.504868, 11.344648
9;STAZIONE CENTRALE;3;PIAZZA MEDAGLIE D`ORO (PENSILINA E);Porto - Saragozza;MARCONI;44.505357, 11.342743
10;PORTA GALLIERA;5;VIALE MASINI FR 4;Santo Stefano;IRNERIO;44.504445, 11.346392
11;PORTA GALLIERA;5;VIALE MASINI 4/2;Santo Stefano;IRNERIO;44.50449, 11.347249
12;BORGO;1;VIALE MASINI 5/3;Santo Stefano;IRNERIO;44.502762, 11.35118
13;BORGO;2;VIALE MASINI 58;Santo Stefano;IRNERIO;44.503003, 11.351265
14;PORTA MASCARELLA;1;VIALE BERTI PICHAT 1;Santo Stefano;IRNERIO;44.501773, 11.353732
15;STAZIONE CENTRALE - XX SE;1;VIALE PIETRAMELLARA 26;Porto - Saragozza;MARCONI;44.504993, 11.344263
16;STAZIONE CENTRALE;2;VIALE PIETRAMELLARA 59 (FERMATA J);Porto - Saragozza;MARCONI;44.505002, 11.34337
17;PORTA MASCARELLA;1;VIALE BERTI PICHAT 2/B;Santo Stefano;IRNERIO;44.501784, 11.354512
18;PORTA SAN DONATO;4;VIALE FILOPANTI 1;Santo Stefano;IRNERIO;44.497565, 11.356518
19;PORTA SAN DONATO;15;VIALE BERTI PICHAT 30;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49912, 11.356656
20;PORTA SAN VITALE;10;VIALE FILOPANTI 11;Santo Stefano;IRNERIO;44.494515, 11.356886
21;FILOPANTI;7;VIALE FILOPANTI PALO LUCE 398;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.495465, 11.357088
22;PORTA MAGGIORE;3;VIALE ERCOLANI FR 4/2;Santo Stefano;IRNERIO;44.491881, 11.357132
25;PORTA SAN VITALE;2;VIALE ERCOLANI FR 3;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.492857, 11.357372
26;CARDUCCI;1;VIALE CARDUCCI 9;Santo Stefano;GALVANI;44.486665, 11.357764
27;PORTA MAGGIORE;9;VIALE ERCOLANI 6;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.490961, 11.357636
28;PORTA SANTO STEFANO;3;VIALE GOZZADINI 1;Santo Stefano;GALVANI;44.484673, 11.355257
29;CARDUCCI;1;VIALE CARDUCCI 30;Santo Stefano;MURRI;44.488228, 11.357915
30;GIARDINI MARGHERITA;3;VIALE GOZZADINI 5;Santo Stefano;GALVANI;44.485002, 11.352403
33;PORTA SANTO STEFANO;1;VIALE CARDUCCI 52;Santo Stefano;MURRI;44.484985, 11.357118
34;PORTA CASTIGLIONE;3;VIALE GOZZADINI 21;Santo Stefano;GALVANI;44.485371, 11.349324
35;GIARDINI MARGHERITA;4;VIALE GOZZADINI FR 5;Santo Stefano;MURRI;44.484786, 11.352382
36;PARCHEGGIO STAVECO;1;VIALE PANZACCHI 9;Santo Stefano;GALVANI;44.486023, 11.343892
